Time,Room,Temp,Humidity,Air
12:05:02 AM,room1,25.00,52.00,61
12:05:02 AM,room2,24.50,59.00,98
12:05:07 AM,room1,25.00,52.00,61
12:05:07 AM,room2,24.50,59.00,98
12:05:12 AM,room1,25.00,52.00,58
12:05:12 AM,room2,24.50,59.00,98
12:05:17 AM,room1,25.00,52.00,58
12:05:17 AM,room2,24.50,59.00,98
12:05:22 AM,room1,25.00,52.00,58
12:05:22 AM,room2,24.50,59.00,98
12:05:27 AM,room1,25.00,52.00,59
12:05:27 AM,room2,24.50,59.00,98
12:05:32 AM,room1,25.00,52.00,59
12:05:32 AM,room2,24.50,59.00,98
12:05:37 AM,room1,25.00,52.00,59
12:05:37 AM,room2,24.50,59.00,98
12:05:42 AM,room1,25.00,52.00,59
12:05:42 AM,room2,24.50,59.00,98
12:05:47 AM,room1,25.00,52.00,59
12:05:47 AM,room2,24.50,59.00,98
12:05:53 AM,room1,25.00,52.00,59
12:05:53 AM,room2,24.50,59.00,98
12:05:58 AM,room1,25.00,52.00,48
12:05:58 AM,room2,24.50,59.00,98
12:06:03 AM,room1,25.00,52.00,48
12:06:03 AM,room2,24.50,59.00,98
12:06:08 AM,room1,24.90,54.00,62
12:06:08 AM,room2,24.40,59.00,98
12:06:13 AM,room1,24.90,54.00,62
12:06:13 AM,room2,24.40,59.00,98
12:06:18 AM,room1,24.90,54.00,63
12:06:18 AM,room2,24.40,59.00,98
12:06:23 AM,room1,24.90,54.00,63
12:06:23 AM,room2,24.40,59.00,98
12:06:28 AM,room1,25.00,52.00,63
12:06:28 AM,room2,24.40,59.00,98
12:06:33 AM,room1,25.00,52.00,63
12:06:33 AM,room2,24.40,59.00,98
12:06:38 AM,room1,25.00,52.00,61
12:06:38 AM,room2,24.40,59.00,98
12:06:43 AM,room1,25.00,52.00,61
12:06:43 AM,room2,24.40,59.00,98
12:06:48 AM,room1,24.90,54.00,62
12:06:48 AM,room2,24.40,59.00,98
12:07:04 AM,room1,24.90,54.00,61
12:07:04 AM,room2,24.40,59.00,98